word,emotion,accuracy
confiável,trust,0.883
confiável,trust,0.867
honra,trust,0.844
honestidade,trust,0.844
honesto,trust,0.844
verdade,trust,0.844
verdadeiro,trust,0.836
confiando,trust,0.836
fraternidade,trust,0.820
confiar,trust,0.812
empenhado,trust,0.805
lealdade,trust,0.805
integridade,trust,0.805
honroso,trust,0.805
confiar,trust,0.805
credibilidade,trust,0.805
fiel,trust,0.797
sincero,trust,0.797
parceria,trust,0.789
responsável,trust,0.789
verdadeiro,trust,0.789
sabedoria,trust,0.789
verificação,trust,0.781
cooperativo,trust,0.781
juramento,trust,0.781
juramento,trust,0.781
respeitável,trust,0.773
irmandade,trust,0.773
herói,trust,0.773
credível,trust,0.773
promessa,trust,0.773
verificado,trust,0.773
qualificado,trust,0.766
autenticação,trust,0.766
respeitado,trust,0.766
compaixão,trust,0.759
aprovação,trust,0.758
moral,trust,0.758
confiabilidade,trust,0.758
confiança,trust,0.758
guardar,trust,0.758
respeitável,trust,0.758
amor,trust,0.758
amigo,trust,0.750
estábulo,trust,0.750
autêntico,trust,0.750
competência,trust,0.750
salvaguarda,trust,0.750
companheiro,trust,0.750
aconselhado,trust,0.750
respeito,trust,0.750
leal,trust,0.750
genuíno,trust,0.750
amizades,trust,0.750
aliado,trust,0.750
comprovado,trust,0.742
liberdade,trust,0.742
Respeitos,trust,0.742
aceitando,trust,0.742
fé,trust,0.742
saudável,trust,0.742
sincero,trust,0.734
unificação,trust,0.734
confirmação,trust,0.734
protegendo,trust,0.734
resseguro,trust,0.734
administrador,trust,0.734
apoiador,trust,0.734
respeitoso,trust,0.734
admirável,trust,0.734
facto,trust,0.727
amizade,trust,0.727
Parceiros,trust,0.727
confidencialmente,trust,0.727
confiante,trust,0.727
igualdade,trust,0.727
aliança,trust,0.727
credencial,trust,0.727
acreditando,trust,0.727
excelência,trust,0.727
acordo,trust,0.727
proximidade,trust,0.719
autenticar,trust,0.719
virtuoso,trust,0.719
inteligência,trust,0.719
Kindred,trust,0.719
virtude,trust,0.719
honrado,trust,0.719
justiça,trust,0.711
caridade,trust,0.711
determinação,trust,0.711
Creditável,trust,0.711
consistência,trust,0.711
fidelidade,trust,0.711
cooperação,trust,0.711
garantia,trust,0.711
dedicação,trust,0.711
direto,trust,0.711
Cooperando,trust,0.711
confiável,trust,0.703
nutrir,trust,0.703
mãe,trust,0.703
realizada,trust,0.703
admiração,trust,0.703
mentor,trust,0.703
tutela,trust,0.703
garantia,trust,0.703
moralidade,trust,0.703
maternidade,trust,0.703
inocente,trust,0.703
reverência,trust,0.703
santuário,trust,0.703
amizade,trust,0.703
preparado,trust,0.703
admirar,trust,0.703
protegido,trust,0.703
prova,trust,0.703
escolta,trust,0.695
hábil,trust,0.695
casado,trust,0.695
aliado,trust,0.695
moral,trust,0.695
humanitário,trust,0.695
pacto,trust,0.695
coragem,trust,0.695
responsável,trust,0.695
agradável,trust,0.695
unido,trust,0.695
indestrutível,trust,0.695
aprovação,trust,0.695
guardião,trust,0.695
compassivo,trust,0.695
cientista,trust,0.695
certificado,trust,0.695
juramento,trust,0.688
conselheiro,trust,0.688
autenticidade,trust,0.688
entendimento,trust,0.688
seguro,trust,0.688
orientação,trust,0.688
monogamia,trust,0.688
valentia,trust,0.688
solidez,trust,0.688
perfeição,trust,0.688
acreditava,trust,0.688
humanidade,trust,0.688
justificável,trust,0.688
competente,trust,0.688
estima,trust,0.688
protetor,trust,0.680
inspirar,trust,0.680
ter esperança,trust,0.680
mais forte,trust,0.680
perícia,trust,0.680
humilde,trust,0.680
indivisível,trust,0.680
oficial,trust,0.680
afirmar,trust,0.680
familiaridade,trust,0.680
confirmado,trust,0.680
diligência,trust,0.680
avô,trust,0.680
Advocacia,trust,0.680
bondade,trust,0.680
louvável,trust,0.680
aceitação,trust,0.680
diplomático,trust,0.680
líder,trust,0.680
confiar,trust,0.680
concordando,trust,0.680
aprovar,trust,0.680
profissional,trust,0.680
Anciãos,trust,0.680
confidencial,trust,0.680
impecável,trust,0.672
acredita,trust,0.672
santificar,trust,0.672
inteligente,trust,0.672
seguro,trust,0.672
aceitaram,trust,0.672
dignidade,trust,0.672
inabalável,trust,0.672
enciclopédia,trust,0.672
domínio,trust,0.672
coeso,trust,0.672
harmoniosamente,trust,0.672
benevolência,trust,0.672
cura,trust,0.672
credenciado,trust,0.672
pacto,trust,0.672
responsabilidade,trust,0.664
equipe,trust,0.664
autoridade,trust,0.664
heróico,trust,0.664
Reliance,trust,0.664
especialista,trust,0.664
comunicar,trust,0.664
espiritual,trust,0.664
impecável,trust,0.664
especialista,trust,0.664
afirmativamente,trust,0.664
proficiente,trust,0.664
cumprimento,trust,0.664
advogado,trust,0.664
discípulo,trust,0.664
atestado,trust,0.664
mérito,trust,0.664
Apoio,trust,0.664
embaixador,trust,0.664
guia,trust,0.664
aceitar,trust,0.664
Reforço,trust,0.661
santidade,trust,0.656
fatos,trust,0.656
garantia,trust,0.656
força,trust,0.656
relação,trust,0.656
defendido,trust,0.656
constância,trust,0.656
favorável,trust,0.656
cavalheiro,trust,0.656
conselho,trust,0.656
científico,trust,0.656
estrutura,trust,0.656
mais velho,trust,0.656
excelente,trust,0.656
alcançar,trust,0.656
firme,trust,0.656
familiar,trust,0.656
competência,trust,0.656
apoia,trust,0.656
conselheiro,trust,0.648
adorável,trust,0.648
aconselhável,trust,0.648
acordado,trust,0.648
heroísmo,trust,0.648
confiar,trust,0.648
defender,trust,0.648
irmão,trust,0.648
matrimônio,trust,0.648
certamente,trust,0.648
pacífico,trust,0.648
santo,trust,0.648
incondicionalmente,trust,0.648
solidariedade,trust,0.648
aceita,trust,0.648
inspiração,trust,0.648
nobre,trust,0.648
bem-sucedido,trust,0.648
harmonia,trust,0.648
protetor,trust,0.648
competência,trust,0.648
camarada,trust,0.648
acadêmico,trust,0.648
assistência,trust,0.648
valioso,trust,0.643
benfeitor,trust,0.641
crédito,trust,0.641
confiança,trust,0.641
relacionamentos,trust,0.641
ordenado,trust,0.641
jurídico,trust,0.641
campeão,trust,0.641
legal,trust,0.641
durabilidade,trust,0.641
Judiciário,trust,0.641
doutor,trust,0.641
amoroso,trust,0.641
assegurar,trust,0.641
estabelecer,trust,0.641
Mamma,trust,0.641
tipo,trust,0.641
unidade,trust,0.641
consciente,trust,0.641
real,trust,0.641
coexiste,trust,0.641
principal,trust,0.641
professor,trust,0.641
íntimo,trust,0.634
fraternal,trust,0.633
médico,trust,0.633
judicial,trust,0.633
santo,trust,0.633
aspiração,trust,0.633
consciência,trust,0.633
terapêutico,trust,0.633
fidelidade,trust,0.633
solidez,trust,0.633
importante,trust,0.633
homenagem,trust,0.633
legitimidade,trust,0.633
Fortitude,trust,0.633
mais profundo,trust,0.633
aprovado,trust,0.633
corajoso,trust,0.633
Devocional,trust,0.633
endossar,trust,0.633
espinha dorsal,trust,0.633
autorizar,trust,0.633
praticado,trust,0.633
santificação,trust,0.633
esperançoso,trust,0.633
convincente,trust,0.633
abençoar,trust,0.633
anjo,trust,0.625
autorização,trust,0.625
confiante,trust,0.625
purificar,trust,0.625
zelador,trust,0.625
respeito,trust,0.625
profundo,trust,0.625
conquista,trust,0.625
evidente,trust,0.625
positividade,trust,0.625
comunicação,trust,0.625
Professor,trust,0.625
bênção,trust,0.625
crenças,trust,0.625
encorajar,trust,0.625
bombeiro,trust,0.625
majestoso,trust,0.625
civilizado,trust,0.625
certificar,trust,0.625
maravilhoso,trust,0.625
noivo,trust,0.625
preciso,trust,0.625
aprovação,trust,0.617
otimismo,trust,0.617
planejamento,trust,0.617
crente,trust,0.617
conselho,trust,0.617
elogiar,trust,0.617
Evangelho,trust,0.617
objetivo,trust,0.617
racional,trust,0.617
estimar,trust,0.617
constantemente,trust,0.617
refúgio,trust,0.617
fundamental,trust,0.617
base rochosa,trust,0.617
acordo,trust,0.617
triunfante,trust,0.617
garantia,trust,0.617
testamento,trust,0.617
absolvição,trust,0.617
trégua,trust,0.617
tranquilizar,trust,0.617
apreciação,trust,0.617
qualidades,trust,0.617
apaixonado,trust,0.617
bom,trust,0.617
Introcável,trust,0.617
corroborar,trust,0.617
considerado,trust,0.617
heroína,trust,0.617
ensinar,trust,0.617
Deus,trust,0.617
atencioso,trust,0.617
Escritura,trust,0.609
civilização,trust,0.609
magnificência,trust,0.609
recomendar,trust,0.609
progressão,trust,0.609
comissário de bordo,trust,0.609
purificação,trust,0.609
patrono,trust,0.609
louvável,trust,0.609
curar,trust,0.609
atencioso,trust,0.609
Bênçãos,trust,0.609
mediador,trust,0.609
babá,trust,0.609
notário,trust,0.609
conhecimento,trust,0.609
examinado,trust,0.609
Excel,trust,0.609
feliz,trust,0.609
louvar,trust,0.609
brilhante,trust,0.609
gosto,trust,0.609
definitivo,trust,0.609
conforto,trust,0.609
Policial,trust,0.609
paz,trust,0.602
serenidade,trust,0.602
inquestionável,trust,0.602
abraçar,trust,0.602
identificar,trust,0.602
inspirado,trust,0.602
estável,trust,0.602
freira,trust,0.602
guardado,trust,0.602
simetria,trust,0.602
Painstay,trust,0.602
completar,trust,0.602
humildade,trust,0.602
útil,trust,0.602
transcendência,trust,0.602
incondicional,trust,0.602
corajos,trust,0.602
iluminar,trust,0.602
com experiência,trust,0.602
iluminação,trust,0.602
simpático,trust,0.602
testemunha,trust,0.602
Vigilância,trust,0.594
ministério,trust,0.594
almirante,trust,0.594
vigilância,trust,0.594
depender,trust,0.594
generosidade,trust,0.594
fazer amizade,trust,0.594
complementar,trust,0.594
avaliação,trust,0.594
com justiça,trust,0.594
iluminar,trust,0.594
fortalecer,trust,0.594
enfermeira,trust,0.594
doação,trust,0.594
visionário,trust,0.594
elogiado,trust,0.594
eminência,trust,0.594
casar,trust,0.594
generoso,trust,0.594
gratidão,trust,0.594
sábio,trust,0.594
tranqüilidade,trust,0.594
abertamente,trust,0.594
conceder,trust,0.594
cônjuge,trust,0.594
filantrópico,trust,0.594
regente,trust,0.594
substanciado,trust,0.594
elogio,trust,0.594
conselho,trust,0.594
eficiente,trust,0.594
querido,trust,0.589
Estatuto,trust,0.586
magnífico,trust,0.586
designação,trust,0.586
piedoso,trust,0.586
antiguidade,trust,0.586
conservação,trust,0.586
educacional,trust,0.586
enraizado,trust,0.586
herança,trust,0.586
diplomacia,trust,0.586
amigo,trust,0.586
convencer,trust,0.586
infalível,trust,0.586
compartilhar,trust,0.586
monge,trust,0.586
constitucional,trust,0.586
amável,trust,0.586
conformidade,trust,0.586
atestar,trust,0.586
vitória,trust,0.586
sereno,trust,0.586
lista de controle,trust,0.586
criação,trust,0.586
desfrutando,trust,0.586
Revere,trust,0.586
tribo,trust,0.586
meritório,trust,0.586
alegre,trust,0.586
delegar,trust,0.586
ajudante,trust,0.586
angélico,trust,0.586
ambição,trust,0.586
pai,trust,0.586
aclamação,trust,0.586
testemunho,trust,0.586
coletivamente,trust,0.586
sobriedade,trust,0.586
prestígio,trust,0.586
firmeza,trust,0.586
estrutural,trust,0.578
imparcialidade,trust,0.578
navegador,trust,0.578
juiz,trust,0.578
abrigo,trust,0.578
coexistir,trust,0.578
inquestionável,trust,0.578
cuidadoso,trust,0.578
obedecer,trust,0.578
professor,trust,0.578
convencido,trust,0.578
comunhão,trust,0.578
alegria,trust,0.578
convidativo,trust,0.578
irrefutável,trust,0.578
comandante,trust,0.578
sorriso,trust,0.578
autoritário,trust,0.578
filantropo,trust,0.578
legalizado,trust,0.578
Adore,trust,0.578
na vertical,trust,0.578
renascimento,trust,0.578
obediente,trust,0.578
Watchdog,trust,0.578
apóstolo,trust,0.570
voluntários,trust,0.570
imaculado,trust,0.570
aderência,trust,0.570
inquestionavelmente,trust,0.570
conselho,trust,0.570
pontual,trust,0.570
consultar,trust,0.570
Portaria,trust,0.570
complemento,trust,0.570
modesto,trust,0.570
eterno,trust,0.570
bússola,trust,0.570
celestial,trust,0.570
determinado,trust,0.570
conselheiro,trust,0.570
abundância,trust,0.570
guia,trust,0.570
merecido,trust,0.570
pedigree,trust,0.570
relativo,trust,0.570
diretor,trust,0.570
plausível,trust,0.570
colaborador,trust,0.570
Connective,trust,0.570
corroboração,trust,0.570
garantir,trust,0.570
piloto,trust,0.570
inequívoco,trust,0.570
matrona,trust,0.570
abraçar,trust,0.570
medido,trust,0.570
forte,trust,0.562
tesoureiro,trust,0.562
apostólico,trust,0.562
salvar,trust,0.562
franqueza,trust,0.562
entendimento,trust,0.562
Admitem,trust,0.562
ganhar,trust,0.562
notável,trust,0.562
forte,trust,0.562
contente,trust,0.562
vitalidade,trust,0.562
prêmio,trust,0.562
vigoroso,trust,0.562
congregação,trust,0.562
elevar,trust,0.562
impecável,trust,0.562
devoto,trust,0.562
suavizante,trust,0.562
milagre,trust,0.562
coesão,trust,0.562
fazer amor,trust,0.562
curável,trust,0.562
prazeroso,trust,0.562
júri,trust,0.562
pertinente,trust,0.562
sucesso,trust,0.562
concordância,trust,0.562
jurista,trust,0.562
aplaudir,trust,0.562
ordenação,trust,0.562
compensar,trust,0.562
paciência,trust,0.555
mediar,trust,0.555
treinador,trust,0.555
iluminação,trust,0.555
cultivar,trust,0.555
fornecendo,trust,0.555
precedência,trust,0.555
exaltar,trust,0.555
ter sucesso,trust,0.555
inclusão,trust,0.555
meditar,trust,0.555
Coalesce,trust,0.555
firmado,trust,0.555
parteira,trust,0.555
veterano,trust,0.555
destinada,trust,0.555
auditor,trust,0.555
privacidade,trust,0.555
restaurador,trust,0.555
influente,trust,0.555
imparcial,trust,0.555
critério,trust,0.555
previsão,trust,0.555
congruência,trust,0.555
adorar,trust,0.555
constante,trust,0.555
reunião,trust,0.555
intuição,trust,0.555
reconciliação,trust,0.555
ambulância,trust,0.555
defensor,trust,0.555
grandeza,trust,0.555
companheiro,trust,0.555
voto,trust,0.555
físico,trust,0.555
profeta,trust,0.555
prevalente,trust,0.547
testemunha ocular,trust,0.547
durável,trust,0.547
Prudente,trust,0.547
valores mobiliários,trust,0.547
salvação,trust,0.547
governo,trust,0.547
lei,trust,0.547
orgulhoso,trust,0.547
alegrar,trust,0.547
reforço,trust,0.547
promessas,trust,0.547
invocação,trust,0.547
fornecer,trust,0.547
amigável,trust,0.547
comandante,trust,0.547
temperado,trust,0.547
conciliação,trust,0.547
convento,trust,0.547
herança,trust,0.547
independência,trust,0.547
alegrar,trust,0.547
noivando,trust,0.547
prontidão,trust,0.547
registro,trust,0.547
declaração,trust,0.547
liberdade,trust,0.547
perdoar,trust,0.547
ancestral,trust,0.547
impenetrável,trust,0.547
escolhas,trust,0.539
Salmos,trust,0.539
maioria,trust,0.539
antídoto,trust,0.539
equivalente,trust,0.539
perfeito,trust,0.539
regularidade,trust,0.539
crônica,trust,0.539
conjunto,trust,0.539
aplausos,trust,0.539
obediência,trust,0.539
aspirante,trust,0.539
vigia,trust,0.539
inimitável,trust,0.539
castidade,trust,0.539
arquitetura,trust,0.539
energia,trust,0.539
delicioso,trust,0.539
exaltado,trust,0.539
relevante,trust,0.539
reforços,trust,0.539
Proctor,trust,0.539
imóvel,trust,0.539
instruções,trust,0.539
definir,trust,0.539
sem censura,trust,0.539
instituto,trust,0.539
responsivo,trust,0.539
recuperação,trust,0.539
obrigar,trust,0.539
óbvio,trust,0.539
antepassados,trust,0.539
ansioso,trust,0.539
inoculação,trust,0.539
admitindo,trust,0.539
memorável,trust,0.539
hospital,trust,0.531
resgatar,trust,0.531
obra,trust,0.531
principesco,trust,0.531
aposentadoria,trust,0.531
berço,trust,0.531
imunização,trust,0.531
florescer,trust,0.531
sincero,trust,0.531
Evergreen,trust,0.531
voto,trust,0.531
acompanhamento,trust,0.531
em verdade,trust,0.531
inseparável,trust,0.531
analista,trust,0.531
esforço,trust,0.531
dependente,trust,0.531
céus,trust,0.531
responsável,trust,0.531
escola,trust,0.531
termos,trust,0.531
Centro,trust,0.531
primogênito,trust,0.531
transcrição,trust,0.531
fraterno,trust,0.531
onisciente,trust,0.531
selo,trust,0.531
edificação,trust,0.531
sem dúvida,trust,0.531
libertação,trust,0.531
patrocinador,trust,0.531
expediente,trust,0.531
noiva,trust,0.531
refúgio,trust,0.531
aprovação,trust,0.527
capelão,trust,0.523
laureado,trust,0.523
libertar,trust,0.523
coroação,trust,0.523
adoração,trust,0.523
semblante,trust,0.523
lua de mel,trust,0.523
conhecedor,trust,0.523
notável,trust,0.523
bênção,trust,0.523
celebração,trust,0.523
vizinho,trust,0.523
ininterrupto,trust,0.523
prêmio,trust,0.523
melhoria,trust,0.523
abraço,trust,0.523
graduação,trust,0.523
correção,trust,0.523
ganhando,trust,0.523
Paragon,trust,0.523
ratificar,trust,0.523
poderoso,trust,0.523
elevação,trust,0.523
comunidade,trust,0.523
conta,trust,0.523
Não desavedado,trust,0.523
ensinado,trust,0.523
salutar,trust,0.523
cativar,trust,0.523
dicionário,trust,0.523
nobreza,trust,0.523
nós mesmos,trust,0.523
sentimento,trust,0.518
Amém,trust,0.516
Comitê,trust,0.516
devaneio,trust,0.516
merecer,trust,0.516
completamente,trust,0.516
elogio,trust,0.516
obstetra,trust,0.516
encantado,trust,0.516
informar,trust,0.516
Associação,trust,0.516
crédito,trust,0.516
senhas,trust,0.516
livremente,trust,0.516
