sentiment;text
joy;Senti felicidade durante o período de apaixonamento, cada vez que nos encontrávamos e especialmente quando não nos encontrávamos há muito tempo.
joy;Quando passei nos B.Exams com 1ª classe. Fui o primeiro de uma família a ter uma 1ª classe, por isso todos os membros da família ficaram muito felizes e permitiram que eu continuasse a estudar.
joy;Uma pessoa que eu não via há muito tempo chamou-me e convidou-me para uma festa.
joy;Quando no ano passado na faculdade recebi o prémio de Melhor Aluno do Ano, senti-me muito feliz por ter conseguido o que queria e o meu desejo ter sido realizado.a1
joy;Quando eu era criança, caí numa adega (quando brincava) e só podia ser libertada com grandes dificuldades.
joy;Em 1980, quando eu estava na 12ª norma, organizámos um pequeno piquenique em Kandala. Um dos meus amigos mais próximos escreveu um poema pequeno e giro para mim, que expressava a sensação de proximidade que tínhamos um pelo outro. Fiquei muito entusiasmado e ainda me lembro disso.
joy;Conheci o meu amigo e ele deu-me um presente maravilhoso, pois era o meu aniversário. Gostei de ter esse presente.
joy;A minha mãe tinha caído de uma escada quando estava a apanhar cerejas. As suas costas estavam feridas. Logo quando cheguei, vi uma pessoa do serviço salva-vidas a prestar-lhe cuidados médicos.
joy;Quando recebi a carta de bolseiro da Austrália.
joy;Quando a minha irmã mais velha teve uma menina. Ela foi a primeira rapariga de uma família depois de 19 anos de bebés rapazes.
joy;Quando a minha mãe estava tremenda ao telefone e falámos durante uma hora. Ela estava de bom humor.
joy;Quando andava à boleia e fui com um homem que conduzia como um louco.
joy;Depois de esperar impacientemente pelos resultados dos exames do formulário 5 durante quase um ano, recebi finalmente uma carta de aceitação do Senado da universidade da Zâmbia a dizer-me que tinha chegado ao primeiro ano do curso na UNZA.
joy;Uma noite, fiquei em casa sozinha. Como vivíamos no rés-do-chão, tive muitas vezes medo de assaltantes.
joy;Quando recebi os resultados do primeiro ano, o primeiro ano envolveu muito trabalho e fiquei muito contente quando recebi os resultados.
joy;O computador da escola tinha deixado de fora o meu nome juntamente com outros quatro e eu não tinha direitos durante um ano. Por isso, fiquei feliz por encontrar o meu nome na lista da escola de medicina.
joy;Quando eu era criança, tinha medo de cães grandes. Um dia, quando cheguei a casa, um cão grande estava deitado em frente da nossa porta. Estava tão assustado que não me atrevi a entrar pela porta e esperei até que alguém passasse por ali.
joy;Eu tinha estado muito cansada durante toda a semana - sem cartas, sem telefonemas, sem visitas e depois a minha irmã mais nova veio com algum queijo, um cartão e algum dinheiro de bolso para mim, e ela disse-me que estava agora a trabalhar.
joy;Recebi uma carta e um presente de Natal de uma pessoa que não via há dois anos.
joy;Quando eu e a minha namorada decidimos voltar a ficar juntos após a nossa separação.
joy;Quando passei nos exames sucessivos para entrar na escola de medicina.
joy;Fiquei muito feliz quando passei e fui formar-me. Foi um grande alívio para mim, pois tinha estado muito preocupado, tendo em conta o grande número de alunos que falharam.
joy;Quando passei nos exames B. e os meus pais permitiram-me continuar os meus estudos e fazer um mestrado, fiquei muito feliz.
joy;Finalmente fui convidado por alguém para um banquete.
joy;Ao planear casar.
joy;Durante cerca de um ano tive uma relação bastante má com o meu pai. na última véspera de Natal ele convidou-me para ficar com ele e eu fiquei muito contente com isso. Foi uma bela noite.
joy;Quando aceitei Jesus Cristo como meu salvador. 
joy;Após o meu exame final na escola, fiquei contente por o exame ter terminado e por ter passado.
joy;Quando assisti ao 31º aniversário do meu primo.
joy;Quando recebi os meus resultados ( tinha conseguido chegar ao segundo ano ).
joy;Quando consegui escrever algo, senti e fi-lo, senti-me bem e muito feliz por poder expressar para mim próprio algo que me sufocava.
joy;Quando a minha rapariga me disse que me amava mais do que qualquer criatura masculina na terra e que eu seria o único no seu coração para toda a sua vida. 
joy;Quando soube que eu tinha sido aceite na UNZA.
joy;Quando recebi a carta de aceitação da UNZA. Tinha acabado de chegar do trabalho quando a minha amável irmã me entregou um envelope que eu abri e foi superado de alegria.
joy;Quando fui seleccionado para esta universidade, apesar de ter estudado com dificuldades durante os meus dias de escola secundária.
joy;Quando recebi algo que me pareceu muito difícil como arranjar um emprego, um namorado, etc. Uma situação específica, foi quando comecei a namorar um rapaz de quem gostei durante muito tempo.
joy;Senti-me feliz quando soube que me tinha qualificado para a oitava classe.
joy;O meu filho passou a 7ª classe e foi aceite para o formulário I.
joy;Quando os meus resultados do segundo semestre do ano passado chegaram - eu estava extasiado.
joy;Quando recebi o formulário de aceitação para o segundo ano numa universidade.
joy;Arranjar um emprego em part-time.
joy;A nossa equipa de basquetebol está invicta no jogo da liga (4-0) actualmente.
joy;Recebi uma nota acima da média num semestre (química) e esperava uma muito abaixo da média.
joy;Quando Wayne e Sue (amigos íntimos) foram anunciados como nossos tutores no seu casamento.
joy;Mesmo antes de ir a um concerto com o meu último namorado, ele disse-me que embora me dissesse que me ia levar ao concerto, já não me queria ver. Depois disso, passamos a noite e eu disse bem, quando ele me deixar estarei arruinada por algum tempo, mas por agora, estamos juntos. Acordei nos seus braços e foi o momento mais feliz da minha vida.
joy;Senti uma alegria extrema no dia em que fui baptizada. Eu era um com Deus.
joy;Uma amiga minha teve muitas vezes dificuldades com os seus pais. Assim que teve um filho, teve uma relação melhor com eles.
joy;No aniversário dos meus pais, organizámos uma festa e ficámos muito felizes.
joy;Quando o meu irmão mais velho, que tinha ido estudar para o estrangeiro durante seis anos, regressou a casa em segurança e de boa saúde.
joy;Um dia, não me senti muito bem e quis falar com alguém. Um amigo convidou-me para jantar e eu fiquei muito contente.
joy;Um amigo de quem eu tinha sentido muita falta veio ver-me inesperadamente.
joy;Quando passei no meu B.Exams.
joy;Ser escolhida para fazer esta experiência.
joy;No sul do Tirol, estava a apanhar maçãs, foi um belo dia, e não estava a pensar em nada, senti uma alegria avassaladora.
joy;A fazer bem o exame.
joy;Entrar nesta universidade para fazer medicina.
joy;Quando conheci a minha namorada - eu não tinha contado com isso.
joy;Leio um bom livro e falo sobre ele ao meu amigo.
joy;O meu pai ficou no estrangeiro durante um ano. Ele não gosta de escrever cartas porque comete erros ortográficos. Eu nunca tive uma boa relação com ele. Ele escreveu-me uma carta em que dizia que me amava.
joy;Quando fiquei noivo de um rapaz da minha escolha.
joy;Ir a um concerto.
